gtin;descricao;marca;ncm;ncm_descricao;gpc;gpc_descricao;categoria;categoria_id;categoria_pai_id;peso_liquido;peso_bruto;preco_medio;preco_min;preco_max;gtins_alternativos;thumbnail;criado_em;atualizado_em;fontes
8005400514340;ESPUM ITAL CHIARELLI PROSECCO;;22042100;Em recipientes de capacidade não superior a 2 l;;;Espumante e Champanhe;143;140;750;750;;0.0;0.0;18005400514347;https://cdn-cosmos.bluesoft.com.br/products/8005400514340;2014-04-24T11:07:34.000-03:00;2026-08-05T03:59:41.000-03:00;ncm:22042100
8005400544040;ESPUM ITAL CONTARINI VICTOR ROSE;;22041090;Outros;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/8005400544040;2014-04-24T11:07:34.000-03:00;2026-08-05T03:59:41.000-03:00;ncm:22041090
8005400713828;ESPUM ITAL COSTAZZURRA ROSE;;22041090;Outros;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:59:42.000-03:00;ncm:22041090
8005400878244;ESPUM ITAL CONTARINI ROSE;;22041090;Outros;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:59:45.000-03:00;ncm:22041090
8005400884542;ESPUM ITAL CONTARINI EXT DRY PROSE;;22041090;Outros;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:59:45.000-03:00;ncm:22041090
8005400884849;ESPUM ITAL CONTARINI PROSECCO;;22041090;Outros;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:59:45.000-03:00;ncm:22041090
8006233108003;BEBIDA MISTA ALCOÓLICA BELLINI CANELLA GARRAFA 750ML;BELLINI CANELLA;22060090;Outras;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/8006233108003;2014-04-24T11:07:34.000-03:00;2026-08-05T04:01:09.000-03:00;ncm:22060090
8008820103132;VINHO COSTAZZURRA LAMBRUSCO BCO;;22059000;Outros;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T04:04:44.000-03:00;ncm:22059000
8008920850820;VINHO GIACOBAZZI 750ML BIANCO;;22042910;Vinhos;;;Vinhos;74;65;;;;0.0;0.0;;;2017-10-13T07:56:26.000-03:00;2026-08-05T04:05:43.000-03:00;ncm:22042910
8010391001137;ESPUM ITAL GIUSTINO RUGGERI PROSECCO;;22041090;Outros;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T04:07:01.000-03:00;ncm:22041090
8010462003336;VINHO LAMBRUSCO ALLEGRO ROSSO;;22059000;Outros;;;;;;1;1;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T04:07:08.000-03:00;ncm:22059000
8033210410255;VINHO ITALIA 750ML SASSOALLORO;SASSOALLORO;22042910;Vinhos;10000273;Vinho - Fortificado;Vinhos;74;65;750;1350;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/8033210410255/2018-06-29-13-57-13-0300;2017-09-14T10:31:39.000-03:00;2026-08-05T04:14:25.000-03:00;ncm:22042910
8410013990571;ESPUM ESP CODORNIU CUVEE DE RAVEN;;22041090;Outros;;;;;;;;;0.0;0.0;8410013990588;;2014-04-24T11:07:34.000-03:00;2026-08-05T04:19:43.000-03:00;ncm:22041090
8410013993626;BRUT ROSÉ CODORNIU ESPUMANTE PINOT NOIR;CODORNIU;22041090;Outros;;;Espumante e Champanhe;143;140;;;;0.0;0.0;8410013993633;https://cdn-cosmos.bluesoft.com.br/products/8410013993626;2014-04-24T11:07:34.000-03:00;2026-08-05T04:19:43.000-03:00;ncm:22041090
8410036001094;CAVA ESPANHOL ROSÉ BRUT GRAN SELECCIÓN CORDON ROSADO FREIXENET GARNACHA TREPAT GARRAFA 750ML;FREIXENET;22041090;Outros;;;Espumante e Champanhe;143;140;;;;0.0;0.0;8410036101206;https://cdn-cosmos.bluesoft.com.br/products/8410036001094;2014-04-24T11:07:34.000-03:00;2026-08-05T04:20:00.000-03:00;ncm:22041090
8410036006297;CHAMPAGNE FREIXENET BABY C NEVADA;FREIXENET;22041090;Outros;;;Espumante e Champanhe;143;140;;;;0.0;0.0;8410036106591;https://cdn-cosmos.bluesoft.com.br/products/8410036006297;2014-04-24T11:07:34.000-03:00;2026-08-05T04:20:01.000-03:00;ncm:22041090
8410036009298;FREIXENET CORDON NEGRO|200|CHAMPAGNE;;22041090;Outros;;;Espumante e Champanhe;143;140;;;;0.0;0.0;90000215733|8410036109448;https://cdn-cosmos.bluesoft.com.br/products/8410036009298;2014-04-24T11:07:34.000-03:00;2026-08-05T04:20:02.000-03:00;ncm:22041090
8411277400318;ESPUM ESP CRISTALINO BRUT ROSE;;22041090;Outros;;;;;;;;;0.0;0.0;8411277206705;https://cdn-cosmos.bluesoft.com.br/products/8411277400318;2014-04-24T11:07:34.000-03:00;2026-08-05T04:26:08.000-03:00;ncm:22041090
8411277400417;ESPUM ESP CRISTALINO BRUT;;22041010;Tipo champanha (champagne);;;;;;;;;0.0;0.0;8411277203568|8411277206729;https://cdn-cosmos.bluesoft.com.br/products/8411277400417;2014-04-24T11:07:34.000-03:00;2026-09-03T11:02:07.000-03:00;ncm:22041010
8423360010052;BRANDY JEREZ SOLERA RESERVA 700ML;FERNANDO DE CASTILLA;22082000;Aguardentes de vinho ou de bagaço de uvas;;;Conhaque;149;69;;;;0.0;0.0;28423360010056;https://cdn-cosmos.bluesoft.com.br/products/8423360010052;2014-04-24T11:07:34.000-03:00;2026-08-05T04:29:36.000-03:00;ncm:22082000
8501110080446;RUM CUBANO ENVELHECIDO HAVANA CLUB GARRAFA 750ML;HAVANA CLUB;22084000;Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar;;;Rum;146;69;;;;0.0;0.0;48501110080444;https://cdn-cosmos.bluesoft.com.br/products/8501110080446;2014-04-24T11:07:34.000-03:00;2026-08-05T04:43:42.000-03:00;ncm:22084000
8579370000122;AGUARD ATTITUDE 1L;;22084000;Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T04:43:57.000-03:00;ncm:22084000
8594403110111;BUDWEISER BUDVAR;LENOVO;22030000;Cervejas de malte.;10000159;Cerveja;Cervejas Tradicionais;141;203;;;;0.0;0.0;18594403110118;https://cdn-cosmos.bluesoft.com.br/products/8594403110111;2014-04-24T11:07:34.000-03:00;2026-08-11T13:05:26.000-03:00;ncm:22030000
8594404110127;PILSNER | URQUELL BIERE BOUTEILLE VERRE 4.4 DEGRES BLONDE;PILSENER URQUELL;22030000;Cervejas de malte.;10000159;Cerveja;;;;;;;0.0;0.0;18594404110124;https://cdn-cosmos.bluesoft.com.br/products/8594404110127;2014-04-24T11:07:34.000-03:00;2026-08-05T04:45:44.000-03:00;ncm:22030000
9300727406453;VINHO BRANCO JACOBS CREEK CHARDONNAY;;22041010;Tipo champanha (champagne);;;Vinhos;74;65;;;;0.0;0.0;19300727406047|19300727406009;https://cdn-cosmos.bluesoft.com.br/products/9300727406453;2014-04-24T11:07:34.000-03:00;2026-08-07T12:06:13.000-03:00;ncm:22041010
27896050200821;AGUARD VELHO BARREIRO GLASS PRATA - 910ML;IRB;22084000;Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar;50202200;Bebidas alcoólicas;;;;910;910;;0.0;0.0;7896050200827;https://cdn-cosmos.bluesoft.com.br/products/27896050200821/2018-04-02-10-35-28-0300;2014-04-24T11:07:34.000-03:00;2024-08-12T18:32:36.000-03:00;ncm:22084000
